0.0174 	EXP 	text_instr_1: autoDraw = True
0.4992 	INFO 	Keyboard events cleared
4.1610 	WARNING 	t of last frame was 22.98ms (=1/43)
4.1820 	WARNING 	t of last frame was 20.96ms (=1/47)
4.2791 	DATA 	Keypress: right
4.2831 	WARNING 	t of last frame was 101.12ms (=1/9)
8.1788 	DEBUG 	Read excel file with openpyxl: incon_stim.xlsx
8.1810 	EXP 	Imported incon_stim.xlsx as conditions, 24 conditions, 5 params
8.1827 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'ImageFile': 'img24.png', 'LabelText': 'ФАРИМОРА-САРИМОРА', 'QuestionType': 'Самоотнесенный', 'QuestionText': 'Ассоциируете ли Вы себя с этим словом?', 'CorrectAnswer_congr': 'right', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
8.1947 	DATA 	Keypress: space
8.1979 	WARNING 	t of last frame was 32.59ms (=1/30)
8.1979 	EXP 	text_instr_1: autoDraw = False
8.1979 	EXP 	text: height = 0.05
8.1979 	EXP 	text: height = 0.05
8.1979 	EXP 	text: height = 0.05
8.1979 	EXP 	text: text = 'Ассоциируете ли Вы себя с этим словом?'
8.1979 	EXP 	text: autoDraw = True
8.1979 	EXP 	text_2: autoDraw = True
8.6654 	INFO 	Keyboard events cleared
16.4900 	DATA 	Keypress: space
16.4928 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
16.4927 	EXP 	text: autoDraw = False
16.4927 	EXP 	text_2: autoDraw = False
16.4927 	EXP 	image_1: image = 'img24.png'
16.4927 	EXP 	text_label_1: height = 0.05
16.4927 	EXP 	text_label_1: height = 0.05
16.4927 	EXP 	text_label_1: height = 0.05
16.4927 	EXP 	text_label_1: text = 'ФАРИМОРА-САРИМОРА'
16.4927 	EXP 	image_1: autoDraw = True
16.4927 	EXP 	text_label_1: autoDraw = True
18.6281 	DATA 	Keypress: right
18.7987 	INFO 	Keyboard events cleared
18.7985 	EXP 	image_1: autoDraw = False
18.7985 	EXP 	text_label_1: autoDraw = False
18.7985 	EXP 	text_ans_quest_right: autoDraw = True
