ImageFile,LabelText,QuestionType,QuestionText,CorrectAnswer,loop_1_block.thisRepN,loop_1_block.thisTrialN,loop_1_block.thisN,loop_1_block.thisIndex,thisRow.t,notes,instr_1.started,instr_1.stopped,key_resp_instr_1.keys,key_resp_instr_1.rt,key_resp_instr_1.duration,quest_1.started,quest_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,pic_1.started,pic_1.stopped,ans_quest_1.started,key_resp_ans_quest_1.started,ans_quest_1.stopped,key_resp_ans_quest_1.keys,key_resp_ans_quest_1.corr,key_resp_ans_quest_1.rt,key_resp_ans_quest_1.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.026891699992120266,0.8302036999957636,space,0.31128049999824725,None,,,,,,,,,,,,,,,021456,001,2025-05-19_18h41.14.521,con_exp,2023.2.3,60.000312000505666,2025-05-19 18h41.27.155744 +0300,
img24.png,ШАМПИНЬОРО-ОСЬМИНОРО,Самоотнесенный,Ассоциируете ли Вы себя с этим словом?,right,0,0,0,23,0.8910627000004752,,,,,,,0.8558929999999236,1.6283847000013338,space,0.27176909999980126,None,1.6308120000030613,4.144373399991309,4.144398999997065,4.160766100001638,4.613188999996055,right,1,0.4458100000047125,None,021456,001,2025-05-19_18h41.14.521,con_exp,2023.2.3,60.000312000505666,2025-05-19 18h41.27.155744 +0300,
img21.png,туалетто-кенгуретто,Самоотнесенный,Ассоциируете ли Вы себя с этим словом?,right,0,1,1,20,4.62806279999495,,,,,,,4.6150686999899335,5.317800299992086,space,0.1805873999983305,None,5.319006999998237,7.827793799995561,7.827821999992011,7.844308699990506,8.195926599990344,right,1,0.3501124000031268,None,021456,001,2025-05-19_18h41.14.521,con_exp,2023.2.3,60.000312000505666,2025-05-19 18h41.27.155744 +0300,
img19.png,сахарини-комарини,Перцептивный,Слово написано большими буквами?,left,0,2,2,18,8.219189800001914,,,,,,,8.197235799991176,8.895835499992245,space,0.18204109999351203,None,8.896194200002356,11.411159499999485,11.411185399992974,11.427843600002234,11.995871799997985,right,0,0.553570199990645,None,021456,001,2025-05-19_18h41.14.521,con_exp,2023.2.3,60.000312000505666,2025-05-19 18h41.27.155744 +0300,
img8.png,КЛУБНИЧИТТО-ХОМЯЧИТТО,Фонологический,Слово рифмуется с  "ветеритто"?,right,0,3,3,7,12.015260100000887,,,,,,,11.996622899998329,12.531554899993353,space,0.015091599998413585,None,12.532095399990794,15.044565299991518,15.044579599998542,15.060915900001419,15.61248809999961,right,1,0.5490687999990769,None,021456,001,2025-05-19_18h41.14.521,con_exp,2023.2.3,60.000312000505666,2025-05-19 18h41.27.155744 +0300,
img9.png,кокосело-медузело,Самоотнесенный,Ассоциируете ли Вы себя с этим словом?,right,0,4,4,8,15.628307299994049,,,,,,,15.613644099998055,16.211958799991407,space,0.07453260000329465,None,16.212467099991045,18.727708099992014,18.72772699999041,18.744110699990415,19.262137400000938,right,1,0.5156261000083759,None,021456,001,2025-05-19_18h41.14.521,con_exp,2023.2.3,60.000312000505666,2025-05-19 18h41.27.155744 +0300,
img12.png,ЛАНДЫШЕЛЛО-МАРТЫШЕЛЛО,Самоотнесенный,Ассоциируете ли Вы себя с этим словом?,right,0,5,5,11,19.277940899992245,,,,,,,19.26315600000089,19.828785799996695,space,0.042969399990397505,None,19.829285400002846,22.335188500001095,22.335209299999406,22.352246900001774,22.812295900002937,right,1,0.4428863000066485,None,021456,001,2025-05-19_18h41.14.521,con_exp,2023.2.3,60.000312000505666,2025-05-19 18h41.27.155744 +0300,
img1.png,арбузоро-гепардоро,Перцептивный,Слово написано большими буквами?,left,0,6,6,0,22.83227359999728,,,,,,,22.81347090000054,24.062267599991173,space,0.7220490000036079,None,24.062641099997563,26.577618399998755,26.57763810000324,26.594050799991237,27.128972699996666,right,0,0.5246199000102933,None,021456,001,2025-05-19_18h41.14.521,con_exp,2023.2.3,60.000312000505666,2025-05-19 18h41.27.155744 +0300,
img4.png,ДИВАНИТТО-ТЮЛЕНИТТО,Перцептивный,Слово написано большими буквами?,right,0,7,7,3,27.14433850000205,,,,,,,27.13013309999951,27.762410199997248,space,0.11678719999326859,None,27.762920099994517,30.27770549998968,30.277724699990358,30.29424289999588,30.66248579999956,right,1,0.35909080000419635,None,021456,001,2025-05-19_18h41.14.521,con_exp,2023.2.3,60.000312000505666,2025-05-19 18h41.27.155744 +0300,
img7.png,кирпичони-саранчони,Перцептивный,Слово написано большими буквами?,left,0,8,8,6,30.67783069999132,,,,,,,30.66367639999953,31.228743500003475,space,0.03642020000552293,None,31.22926639999787,33.74534789999598,33.74542469999869,33.76116509998974,34.21278180000081,right,0,0.45004579999658745,None,021456,001,2025-05-19_18h41.14.521,con_exp,2023.2.3,60.000312000505666,2025-05-19 18h41.27.155744 +0300,
,,,,,,,,,34.23697909999464,,,,,,,34.21429389998957,35.112143799997284,space,0.3697278999898117,None,35.112667199995485,,,,,,,,,,,,,,,,
