ImageFile,LabelText,QuestionType,QuestionText,CorrectAnswer,loop_1_block.thisRepN,loop_1_block.thisTrialN,loop_1_block.thisN,loop_1_block.thisIndex,thisRow.t,notes,instr_1.started,instr_1.stopped,key_resp_instr_1.keys,key_resp_instr_1.rt,key_resp_instr_1.duration,quest_1.started,quest_1.stopped,key_resp.keys,key_resp.rt,key_resp.duration,pic_1.started,pic_1.stopped,ans_quest_1.started,key_resp_ans_quest_1.started,ans_quest_1.stopped,key_resp_ans_quest_1.keys,key_resp_ans_quest_1.corr,key_resp_ans_quest_1.rt,key_resp_ans_quest_1.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.006180099997436628,2.2326082000072347,space,1.705132399991271,None,,,,,,,,,,,,,,,161972,001,2025-05-19_17h47.23.392,con_exp,2023.2.3,59.842721360380345,2025-05-19 17h47.32.945597 +0300,
img18.png,РУБИНОРО-ДЕЛЬФИНОРО,Самоотнесенный,Ассоциируете ли Вы себя с этим словом?,None,0,0,0,17,2.2677850000036415,,,,,,,2.250425100006396,4.366143200008082,space,1.6041681000060635,None,4.366749599998002,6.881669800000964,6.881691900009173,6.898333000004641,6.966951700000209,right,0,0.06157109999912791,None,161972,001,2025-05-19_17h47.23.392,con_exp,2023.2.3,59.842721360380345,2025-05-19 17h47.32.945597 +0300,
,,,,,,,,,6.98391910000646,,,,,,,6.967951900005573,12.833121100004064,space,5.347388399997726,None,12.833495400001993,15.34848570000031,15.34851019999769,15.365037000010489,,,,,,,,,,,,,
